Category,Resume
Data Science,Data analyst with expertise in statistical modeling predictive analytics Python R machine learning. Built neural network models for NLP computer vision tasks. Proficient in feature engineering model training evaluation. Published research on deep learning techniques. Seeking challenging opportunities. Bachelor degree in related field.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. 5 years industry experience. Seeking challenging opportunities.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. Certified professional. 5 years industry experience.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. Seeking challenging opportunities. Detail oriented problem solver.
Data Science,Machine learning engineer specializing in Python scikit-learn TensorFlow PyTorch. Developed and deployed production ML pipelines. Extensive experience with data preprocessing feature selection hyperparameter tuning. Strong background in statistics mathematics. Strong communication teamwork skills. 5 years industry experience.
Data Science,Data analyst with expertise in statistical modeling predictive analytics Python R machine learning. Built neural network models for NLP computer vision tasks. Proficient in feature engineering model training evaluation. Published research on deep learning techniques. Detail oriented problem solver. Bachelor degree in related field.
Data Science,Machine learning engineer specializing in Python scikit-learn TensorFlow PyTorch. Developed and deployed production ML pipelines. Extensive experience with data preprocessing feature selection hyperparameter tuning. Strong background in statistics mathematics. Proven track record of success. Results driven individual.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. Bachelor degree in related field. Results driven individual.
Data Science,Data analyst with expertise in statistical modeling predictive analytics Python R machine learning. Built neural network models for NLP computer vision tasks. Proficient in feature engineering model training evaluation. Published research on deep learning techniques. Strong communication teamwork skills. 5 years industry experience.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. Bachelor degree in related field. Detail oriented problem solver.
Data Science,Machine learning engineer specializing in Python scikit-learn TensorFlow PyTorch. Developed and deployed production ML pipelines. Extensive experience with data preprocessing feature selection hyperparameter tuning. Strong background in statistics mathematics. Seeking challenging opportunities. 5 years industry experience.
Data Science,Experienced data scientist skilled in Python pandas numpy scikit-learn TensorFlow machine learning deep learning. Worked on regression classification clustering models. Strong SQL and data visualization with Tableau. Used Jupyter notebooks for analysis. Experience with AWS and big data tools. Proven track record of success. Results driven individual.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Results driven individual. Detail oriented problem solver.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Certified professional. Strong communication teamwork skills.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Seeking challenging opportunities. Detail oriented problem solver.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Bachelor degree in related field. Certified professional.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Results driven individual. Certified professional.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Results driven individual. Detail oriented problem solver.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Proven track record of success. Seeking challenging opportunities.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Strong communication teamwork skills. Seeking challenging opportunities.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Bachelor degree in related field. Results driven individual.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Bachelor degree in related field. Seeking challenging opportunities.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Strong communication teamwork skills. Detail oriented problem solver.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Results driven individual. 5 years industry experience.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Seeking challenging opportunities. Certified professional.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Certified professional. Strong communication teamwork skills.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. 5 years industry experience. Detail oriented problem solver.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Bachelor degree in related field. Proven track record of success.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Proven track record of success. Strong communication teamwork skills.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. 5 years industry experience. Proven track record of success.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Results driven individual. Certified professional.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Certified professional. Results driven individual.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. 5 years industry experience. Detail oriented problem solver.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Results driven individual. Bachelor degree in related field.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Results driven individual. 5 years industry experience.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Seeking challenging opportunities. 5 years industry experience.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Certified professional. Results driven individual.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Certified professional. Bachelor degree in related field.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Bachelor degree in related field. Seeking challenging opportunities.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Certified professional. Strong communication teamwork skills.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Strong communication teamwork skills. Seeking challenging opportunities.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Strong communication teamwork skills. Certified professional.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Bachelor degree in related field. Seeking challenging opportunities.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Detail oriented problem solver. Proven track record of success.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Results driven individual. Proven track record of success.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Strong communication teamwork skills. Certified professional.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Results driven individual. Proven track record of success.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Seeking challenging opportunities. Proven track record of success.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Certified professional. Proven track record of success.
Java Developer,Backend Java developer specializing in enterprise applications Spring Framework Hibernate ORM. Built scalable REST APIs microservices architecture. Experience with cloud platforms AWS Azure. Strong object oriented programming skills. Detail oriented problem solver. Certified professional.
Java Developer,Java software engineer with 4 years experience in Spring Boot microservices REST API development. Proficient in Maven Gradle JUnit design patterns. Worked with PostgreSQL MySQL databases. Experience with Docker Kubernetes CI/CD pipelines and Agile Scrum methodology. Seeking challenging opportunities. Certified professional.
Java Developer,Senior Java developer with expertise in Spring Boot REST API microservices. Implemented design patterns like factory singleton observer. Extensive experience with SQL database optimization. Led teams using Agile Scrum methodology. Seeking challenging opportunities. 5 years industry experience.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Seeking challenging opportunities. Strong communication teamwork skills.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Results driven individual. 5 years industry experience.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Bachelor degree in related field. Results driven individual.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Bachelor degree in related field. Strong communication teamwork skills.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Results driven individual. 5 years industry experience.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Strong communication teamwork skills. Results driven individual.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. 5 years industry experience. Results driven individual.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Seeking challenging opportunities. Results driven individual.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Detail oriented problem solver. Strong communication teamwork skills.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Results driven individual. Proven track record of success.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Proven track record of success. Detail oriented problem solver.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Results driven individual. Seeking challenging opportunities.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Proven track record of success. Strong communication teamwork skills.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Strong communication teamwork skills. Seeking challenging opportunities.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. 5 years industry experience. Strong communication teamwork skills.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Results driven individual. Detail oriented problem solver.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Proven track record of success. Seeking challenging opportunities.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Detail oriented problem solver. Bachelor degree in related field.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Proven track record of success. Results driven individual.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. 5 years industry experience. Bachelor degree in related field.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Strong communication teamwork skills. Detail oriented problem solver.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Results driven individual. Detail oriented problem solver.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Bachelor degree in related field. Detail oriented problem solver.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Results driven individual. Bachelor degree in related field.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Seeking challenging opportunities. Certified professional.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Detail oriented problem solver. Proven track record of success.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. 5 years industry experience. Proven track record of success.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Proven track record of success. Bachelor degree in related field.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Detail oriented problem solver. Results driven individual.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Certified professional. Results driven individual.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Strong communication teamwork skills. Results driven individual.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. 5 years industry experience. Proven track record of success.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Results driven individual. Certified professional.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. 5 years industry experience. Seeking challenging opportunities.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Seeking challenging opportunities. Proven track record of success.
Python Developer,Backend Python engineer specializing in Django REST framework. Developed scalable APIs deployed on AWS. Experience with Redis caching PostgreSQL optimization unit testing pytest. Strong Python programming skills and data structures knowledge. Seeking challenging opportunities. Detail oriented problem solver.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Proven track record of success. Strong communication teamwork skills.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. Results driven individual. Bachelor degree in related field.
Python Developer,Python software engineer with expertise in Flask microservices Docker Kubernetes. Built ML model deployment pipelines. Proficient in SQL NoSQL databases. Experience with CI/CD Jenkins GitHub Actions. Certified professional. Results driven individual.
Python Developer,Python developer experienced in Django Flask REST API development. Built web applications with PostgreSQL MongoDB backends. Proficient in Git Docker Linux environment. Experience with AWS Lambda serverless functions and celery task queues. 5 years industry experience. Seeking challenging opportunities.
Web Designing,Web designer with expertise in HTML CSS JavaScript Bootstrap React. Used Adobe Photoshop Illustrator for graphics. Experience with Figma for UI design user experience research. Built mobile-first responsive websites. Detail oriented problem solver. Results driven individual.
Web Designing,Web designer with expertise in HTML CSS JavaScript Bootstrap React. Used Adobe Photoshop Illustrator for graphics. Experience with Figma for UI design user experience research. Built mobile-first responsive websites. Proven track record of success. Bachelor degree in related field.
Web Designing,Web designer with expertise in HTML CSS JavaScript Bootstrap React. Used Adobe Photoshop Illustrator for graphics. Experience with Figma for UI design user experience research. Built mobile-first responsive websites. Bachelor degree in related field. Certified professional.
Web Designing,Web designer with expertise in HTML CSS JavaScript Bootstrap React. Used Adobe Photoshop Illustrator for graphics. Experience with Figma for UI design user experience research. Built mobile-first responsive websites. Strong communication teamwork skills. 5 years industry experience.
Web Designing,Web designer with expertise in HTML CSS JavaScript Bootstrap React. Used Adobe Photoshop Illustrator for graphics. Experience with Figma for UI design user experience research. Built mobile-first responsive websites. Strong communication teamwork skills. Detail oriented problem solver.
Web Designing,UI UX designer and frontend developer proficient in React Angular HTML CSS JavaScript. Used Figma for wireframing prototyping. Experience with Sass Node.js REST API integration. Created accessible responsive web designs. Bachelor degree in related field. Detail oriented problem solver.
Web Designing,Frontend web designer skilled in HTML CSS JavaScript React Bootstrap. Created responsive UI/UX designs using Figma Adobe XD. Experience with animations CSS transitions. Built interactive web applications with modern JavaScript frameworks. Seeking challenging opportunities. Certified professional.
Web Designing,UI UX designer and frontend developer proficient in React Angular HTML CSS JavaScript. Used Figma for wireframing prototyping. Experience with Sass Node.js REST API integration. Created accessible responsive web designs. Proven track record of success. Strong communication teamwork skills.
